Tarama Tarihi,Fon Kodu,Fon Adı,Son Fiyat
2025-07-24,DOH,TERA PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,DOL,AKTİF PORTFÖY ÜÇÜNCÜ AKTİF SERBEST (DÖVİZ) FON,
2025-07-24,DOV,DENİZ PORTFÖY ONÜÇÜNCÜ SERBEST (DÖVİZ-AVRO) FON,
2025-07-24,DPB,DENİZ PORTFÖY SERBEST (DÖVİZ) FON,
2025-07-24,DPK,DENİZ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,
2025-07-24,DPT,DENİZ PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON ),
2025-07-24,DSD,DENİZ PORTFÖY İKİNCİ SERBEST (DÖVİZ_AVRO) FON,
2025-07-24,DSP,DENİZ PORTFÖY DENGELİ FON SEPETİ FONU,
2025-07-24,DTL,DENİZ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,DTM,DENİZ PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER DEĞİŞKEN FON,
2025-07-24,DTZ,AK PORTFÖY ROBOTİK TEKNOLOJİLER DEĞİŞKEN FON,
2025-07-24,DUD,DENİZ PORTFÖY UZUN VADELİ SERBEST (DÖVİZ) FON,
2025-07-24,DUH,HEDEF PORTFÖY UFUK HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,DUV,DENİZ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,
2025-07-24,DVS,DENİZ PORTFÖY KISA VADELİ SERBEST (TL) FON,
2025-07-24,DVT,DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,
2025-07-24,DXP,DENİZ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,DYN,DENİZ PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇ TEKNOLOJİLERİ DEĞİŞKEN FON,
2025-07-24,DZE,DENİZ PORTFÖY BIST 100 ENDEKSİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),
2025-07-24,DZM,DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,
2025-07-24,EBD,GLOBAL MD PORTFÖY İKİNCİ DEĞİŞKEN FON,
2025-07-24,EC2,GLOBAL MD PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),
2025-07-24,ECA,GLOBAL MD PORTFÖY BİRİNCİ DEĞİŞKEN FON,
2025-07-24,EDT,DENİZ PORTFÖY TED EĞİTİME DESTEK SERBEST FON,
2025-07-24,EDU,İŞ PORTFÖY TEV EĞİTİME DESTEK DEĞİŞKEN FON,
2025-07-24,EIB,QİNVEST PORTFÖY DEĞİŞKEN FON,
2025-07-24,EIC,QİNVEST PORTFÖY İKİNCİ DEĞİŞKEN FONU,
2025-07-24,EID,QİNVEST PORTFÖY HİSSE SENEDİ FONU (HİSSE YOĞUN FON),
2025-07-24,EIL,QİNVEST PORTFÖY PARA PİYASASI FONU,
2025-07-24,EKF,QİNVEST PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,
2025-07-24,ELZ,QİNVEST PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
